id,name,address,city,state,zip,phone,webaddress,weiss,weissrank,demotech,demotechrank,ambest,ambestrank,policycount,policycount_display,q4_2013_policycount,q1_2014_policycount,q2_2014_policycount,q3_2014_policycount,q4_2014_policycount,q1_2015_policycount,q2_2015_policycount,q3_2015_policycount,q4_2015_policycount,q1_2016_policycount,q2_2016_policycount,q3_2016_policycount,q4_2016_policycount,q1_2017_policycount,q2_2017_policycount,q3_2017_policycount,q4_2017_policycount,q1_2018_policycount,q2_2018_policycount,q3_2018_policycount,2yrpolicytotal,total_complaints_display,total_complaints,total_2013_complaintcount,total_2014_complaintcount,total_2015_complaintcount,total_2016_complaintcount,total_2017_complaintcount,total_2018_complaintcount,complaints_per_10k,complaintpercentile,complaintpercentilegroup,isincomplete,longloss,shortloss
72,US Coastal Property & Casualty Insurance Co.,301 NW 138th Terrace,Jonesville,FL,32669,(866) 896-7233,http://www.uscoastalpc.com/,C+,7,A,3,NR,33,10582,"10,582",0,0,0,0,0,0,0,0,0,0,290,808,1662,3017,4402,5721,6651,7832,9327,10582,6149.25,1,1,0,0,0,0,1,1,1.6,13,1,f,49.9%,69.6%
73,TypTap Insurance Co.,"5300 W. Cypress St, Suite 100",Tampa ,FL,33607,(813) 405-3200,https://www.typtap.com/,NR,16,A,3,NR,33,9387,"9,387",0,0,0,0,0,0,0,0,0,24,370,1077,1855,2683,4039,5981,6668,7383,8536,9387,5816.5,0,0,0,0,0,0,0,0,0,0,1,f,,
74,Monarch National Insurance Co.,"14050 Nw 14Th Street, Suite 180",Sunrise,FL,33323,800-293-2532,http://www.fednat.com,C,8,A,3,NR,33,8885,"8,885",0,0,0,0,0,0,163,475,779,1073,2406,4403,6846,7403,7803,8161,8651,9109,9368,8885,8278.25,5,5,0,0,0,0,5,3,6,26,1,f,43.4%,56.2%
75,American Reliable Insurance Co.,"3 Bala Plaza East, Suite 300",Bala Cynwyd,PA,19004-3406,610-664-1500,http://www.globalindemnity.ie,NR,16,NR,7,A,5,8467,"8,467",6212,6563,6888,7094,6563,6888,7099,7167,7211,7106,7208,7282,7213,7158,7282,7485,7631,7833,8126,8467,7649.375,6,6,5,5,1,1,3,1,7.8,39,2,f,,
76,Metropolitan Casualty Insurance Co.,"9797 Springboro Pike, Suite 201",Dayton,OH,45448,800-422-4272,http://www.metlife.com,B,5,NR,7,A,5,8394,"8,394",10263,10049,9838,9609,10049,9838,9882,9970,10100,10250,10353,10390,10251,10093,9878,9791,9428,9014,8730,8394,9447.375,14,14,10,4,5,5,5,3,14.8,68,3,f,,
77,Southern-Owners Insurance Co.,6101 Anacapri Boulevard,Lansing,MI,48917-3968,517-323-1200,http://www.auto-owners.com,A-,3,NR,7,A++,1,8327,"8,327",8535,8558,8628,8696,8558,8628,8863,8932,8889,8785,8657,8594,8578,8505,8447,8590,8543,8427,8364,8327,8472.625,2,2,5,4,0,0,2,0,2.4,16,1,f,54.8%,55.2%
78,Ace Insurance Co. Of The Midwest,"Judith M. Calihan, 436 Walnut Street,            P",Philadelphia,PA,19106,215-640-4555,http://www.acegroup.com,C,8,NR,7,A++,1,7870,"7,870",2335,2351,2390,2421,2351,2390,2596,2765,4553,6119,7797,9055,8871,8725,8545,8429,8331,8182,8009,7870,8370.25,0,0,0,0,1,1,0,0,0,0,1,f,,
79,Stillwater Property And Casualty Insurance Co.,P. O. Box 45126,Jacksonville,FL,32232-5126,904-997-7310-,http://www.stillwaterinsurance.com,C+,7,A,3,A-,7,5694,"5,694",10843,10418,10044,9727,10418,10044,8986,8760,8531,8284,7926,7638,7428,7220,6947,6781,6558,6290,5963,5694,6610.125,9,9,12,6,6,6,2,2,13.6,61,2,f,,
80,American Southern Home Insurance Co.,7000 Midland Blvd.,Amelia,OH,45102-2607,800-543-2644-6771,http://www.amig.com,C,8,NR,7,A+,3,4623,"4,623",9699,9097,8377,6579,9097,8377,6045,5955,5852,5784,5640,5543,5410,5362,4950,4903,4712,4804,4706,4623,4933.75,4,4,10,2,0,0,4,1,8.1,40,2,f,48.8%,48.8%
81,Spinnaker Insurance Co.,"221 Main Street, Suite 2",Chester,NJ,07930,(908) 879-2234,https://www.spinnakerins.com/,NR,16,NR,7,NR,33,3068,"3,068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,1174,2158,3068,821.75,1,1,0,0,0,0,1,0,-,,0,f,,
82,Maison Insurance Co.,"9100 Bluebonnet Centre Blvd., Suite 502",Baton Rouge,LA,70809,(225) 361-8747,http://maisonins.com/,NR,16,A,3,NR,33,3048,"3,048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3444,3337,3179,3048,1626,0,0,0,0,0,0,0,0,0,0,1,f,,
83,New Hampshire Insurance Co.,"175 Water Street, 18Th Floor",New York,NY,10038,212-458-3732,http://www.aig.com,C,8,NR,7,A,5,2945,"2,945",4893,4674,4467,4477,4674,4467,3930,3935,3876,3686,3547,3545,3494,3359,3231,3212,3175,3068,2979,2945,3182.875,1,1,2,4,0,0,1,1,3.1,19,1,f,,
84,Armed Forces Insurance Exchange,550 Eisenhower Road,Leavenworth,KS,66048,800-255-6792,http://www.afi.org,B-,6,NR,7,B++,9,2671,"2,671",4065,3989,3912,3833,3989,3912,3592,3481,3395,3325,3251,3174,3095,3047,2967,2903,2852,2787,2721,2671,2880.375,3,3,2,4,0,0,2,0,10.4,51,2,f,69.9%,64.4%
85,American Capital Assurance Corp,1 Asi Way N,St. Petersburg,FL,33702,727-821-8765,http://www.americanstrategic.com,NR,16,NR,7,NR,33,2322,"2,322",0,0,0,0,0,0,2092,2082,2091,2093,2092,2149,2074,2026,2042,2074,2080,2148,2289,2322,2131.875,0,0,0,0,0,0,0,0,0,0,1,f,,
86,Progressive American Insurance Co.,"6300 Wilson Mills Road, W33",Cleveland,OH,44143-2182,1-800-776-4737,http://www.progressive.com,NR,16,NR,7,NR,33,1856,"1,856",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,425,860,1353,1856,566,0,0,0,0,0,0,0,0,-,,0,f,,
87,Electric Insurance Co.,75 Sam Fonzo Drive,Beverly,MA,01915,800-227-2757,http://www.electricinsurance.com,C+,7,NR,7,A,5,1846,"1,846",2056,2036,2027,1999,2036,2027,1916,1887,1865,1844,1840,1846,1849,1846,1843,1858,1848,1860,1841,1846,1848.875,2,2,1,3,1,1,1,0,10.8,53,2,f,50.7%,62.9%
88,Auto-Owners Insurance Co.,6101 Anacapri Boulevard,Lansing,MI,48917-3968,517-323-1200,http://www.auto-owners.com,NR,16,NR,7,A++,1,1697,"1,697",2644,2561,2490,2431,2561,2490,2287,2242,2207,2153,2097,2052,2009,1957,1914,1864,1834,1787,1734,1697,1849.5,3,3,1,0,0,0,2,0,16.2,72,3,f,,
89,IDS Property Casualty Insurance Co.,3500 Packerland Drive,De Pere,WI,54115-9070,920.330.5150,http://www.ameriprise.com,B-,6,NR,7,A,5,1609,"1,609",2323,2293,2247,2208,2293,2247,2075,2041,1998,1964,1920,1874,1827,1801,1768,1728,1701,1678,1640,1609,1719,3,3,6,3,2,2,1,1,17.5,76,3,f,79.7%,75.8%
90,White Pine Insurance Co.,209 Georgian Place,Somerset,PA,15501,814-445-6242,http://www.midcontinentinsurance.com,D+,10,A,3,NR,33,1601,"1,601",0,0,0,0,0,0,0,0,0,0,0,0,4199,4040,3818,3623,3346,3069,2458,1601,3269.25,3,3,0,0,0,0,3,2,9.2,48,2,f,46.0%,46.6%
91,State National Insurance Co.,1900 L. Don Dodson Dr.,Bedford,TX,76021,817-265-2000,http://www.statenational.com,B-,6,NR,7,A,5,1509,"1,509",0,0,2,3,0,2,15,16,17,18,19,18,16,33,90,100,117,136,115,1509,264.5,0,0,0,0,0,0,1,0,-,,0,f,,
92,American National Property & Casualty Co.,"American National Center, 1949 East Sunshine",Springfield,MO,65899-0001,417-887-4990-2422,http://www.anpac.com,NR,16,NR,7,NR,33,1275,"1,275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,724,1275,274.625,1,1,0,0,0,0,1,0,-,,0,f,,
93,Vault Reciprocal Exchange,199 Water Street,New York,NY,10038,(646) 794-0527,https://vault.insurance/,NR,16,NR,7,NR,33,1138,"1,138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,278,661,1138,263.875,0,0,0,0,0,0,0,0,-,,0,f,,
94,Cincinnati Insurance Co.,6200 South Gilmore Road,Fairfield,OH,45014-5141,513-870-2646,http://www.cinfin.com,A,2,NR,7,A+,3,1077,"1,077",6468,6238,5674,4349,6238,5674,989,886,889,885,906,912,908,904,928,950,957,982,1039,1077,968.125,2,2,2,2,1,1,0,2,-,,0,f,54.7%,57.9%
95,ASI Home Insurance Corp.,1 Asi Way N,St. Petersburg,FL,33702,727-821-8765,http://www.americanstrategic.com,B-,6,A'',1,A+,3,936,936,3696,3052,2979,2907,3052,2979,1929,1872,1803,1602,1532,1481,1412,1182,1138,1109,1073,986,958,936,1099.25,10,10,0,0,0,1,6,3,91,100,3,f,59.1%,52.9%
96,Great Northern Insurance Co.,202 Hall'S Mill Road,Whitehouse Station,NJ,08889,908-572-5343,http://www.chubb.com,B-,6,NR,7,A++,1,789,789,1056,1054,1037,1016,1054,1037,986,976,962,946,931,913,895,881,867,855,843,829,809,789,846,0,0,0,0,0,0,0,0,-,,0,f,40.6%,42.6%
97,Clarendon National Insurance Co.,411 5Th Avenue,New York,NY,10016,212-790-9715,http://www.enstargroup.com,NR,16,NR,7,NR,33,745,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2183,1337,745,533.125,0,0,0,0,0,0,0,0,-,,0,f,,
98,Great American Assurance Co.,301 E Fourth Street,Cincinnati,OH,45202,800-972-3008,http://www.greatamericaninsurancegroup.com,NR,16,NR,7,A+,3,697,697,484,499,505,522,499,505,550,538,546,544,557,568,580,583,577,596,603,618,637,697,611.375,0,0,0,0,0,0,0,0,-,,0,f,,
99,Teachers Insurance Co.,#1 Horace Mann Plaza,Springfield,IL,62715,800-999-1030,http://www.horacemann.com,B,5,NR,7,A,5,680,680,4645,4411,3829,2715,4411,3829,438,463,517,544,581,616,618,605,588,640,643,635,652,680,632.625,1,1,1,3,0,0,1,0,-,,0,f,65.3%,66.3%
100,Old Dominion Insurance Co.,55 West Street,Keene,NH,03431,800-258-5310,http://www.msagroup.com,B-,6,NR,7,A,5,629,629,1401,1375,1352,1313,1375,1352,1221,1172,1146,1117,1077,1046,1016,988,942,906,838,710,640,629,833.625,1,1,2,1,1,1,0,0,-,,0,f,,
101,Everest National Insurance Co.,P.O. Box 830,Liberty Corner,NJ,07938-0830,908-604-3145,http://www.everestre.com,NR,16,NR,7,NR,33,615,615,0,0,0,0,0,0,0,0,0,80,123,175,214,259,359,377,478,511,598,615,426.375,0,0,0,0,0,0,0,0,-,,0,f,,
102,American Home Assurance Co.,"175 Water Street, 18Th Floor",New York,NY,10038,212-458-3732,http://www.aig.com,C,8,NR,7,A,5,502,502,1003,980,959,939,980,959,857,818,761,737,719,708,662,649,622,608,556,544,525,502,583.5,0,0,2,1,0,0,0,0,-,,0,f,86.1%,52.2%
103,Response Insurance Co.,"50 Glenmaura National Blvd.,  Ste. 201",Moosic,PA,18507,570-596-2036,http://www.kemper.com,C-,9,NR,7,A-,7,501,501,0,0,212,1281,0,212,3520,3453,2833,2260,1649,1210,967,832,789,760,750,690,591,501,735,0,0,0,0,0,0,0,0,-,,0,f,,
104,Service Insurance Co.,702 Oberlin Road,Raleigh,NC,27605,919-833-1600,http://www.serviceinsuranceco.com,B,5,A,3,A-,7,493,493,247,251,247,242,251,247,229,223,213,223,232,241,240,262,281,330,364,394,433,493,349.625,0,0,0,0,0,0,0,0,-,,0,f,33.7%,27.0%
105,Aegis Security Insurance Co.,2407 Park Drive Suite 200,Harrisburg,PA,17110,717-657-9671,http://www.aegisfirst.com,C+,7,NR,7,A-,7,492,492,859,809,805,822,809,805,796,797,781,758,756,733,690,598,621,591,586,546,486,492,576.25,0,0,0,0,1,1,1,0,-,,0,f,41.5%,41.6%
106,QBE Insurance Corp.,One General Drive,Sun Prairie,WI,53596,212-805-9700-8851,http://www.qbena.com,NR,16,NR,7,A,5,477,477,1084,1077,1072,1076,1077,1072,964,921,877,799,738,711,686,633,575,551,542,527,499,477,561.25,3,3,0,0,0,0,1,1,-,,0,f,,
107,Guideone Elite Insurance Co.,1111 Ashworth Road,West Des Moines,IA,50265-3538,515-267-2315,http://www.guideone.com,NR,16,NR,7,NR,33,470,470,499,503,505,507,503,505,524,525,524,518,514,520,530,516,506,498,489,478,467,470,494.25,1,1,0,0,1,1,0,0,-,,0,f,,
108,American Platinum Property And Casualty Insurance Co.,1110 West Commercial Boulevard,Fort Lauderdale,FL,33309,954-958-1200,http://www.americanplatinumpcic.com,C+,7,A,3,NR,33,438,438,822,729,659,643,729,659,583,569,548,524,526,504,479,465,454,451,459,455,451,438,456.5,0,0,1,1,0,0,0,0,-,,0,f,26.7%,27.2%
109,Stillwater Insurance Co.,P. O. Box 45126,Jacksonville,FL,32232-5126,904-997-7310-,http://www.stillwaterinsurance.com,B-,6,A,3,NR,33,432,432,0,0,0,0,0,0,0,3,7,25,68,100,137,175,214,263,323,357,398,432,287.375,4,4,0,0,1,4,2,0,-,,0,f,58.0%,60.3%
110,Great American Insurance Co. Of New York,301 E Fourth Street,Cincinnati,OH,45202,800-972-3008,http://www.greatamericaninsurancegroup.com,NR,16,NR,7,A+,3,380,380,228,232,242,266,232,242,320,336,339,341,354,347,341,347,363,364,374,372,371,380,364,0,0,0,0,0,0,0,0,-,,0,f,,
111,First National Insurance Co. Of America,175 Berkeley Street,Boston,MA,02116,617-357-9500,http://www.safeco.com,B,5,NR,7,A,5,354,354,461,470,462,454,470,462,421,410,398,389,388,396,397,402,390,398,394,391,376,354,387.75,0,0,0,0,0,0,0,0,-,,0,f,,
112,United Fire And Casualty Co.,118 Second Avenue Se,Cedar Rapids,IA,52401,319-286-2533,http://www.unitedfiregroup.com,B,5,NR,7,A,5,342,342,882,870,842,820,870,842,736,706,676,667,649,647,636,630,611,602,589,499,418,342,540.875,2,2,0,1,1,1,1,0,-,,0,f,57.1%,53.1%
113,Great American Insurance Co.,301 E Fourth Street,Cincinnati,OH,45202,800-972-3008,http://www.greatamericaninsurancegroup.com,NR,16,NR,7,A+,3,341,341,709,710,680,647,710,680,606,616,601,594,563,542,536,522,488,473,450,432,386,341,453.5,0,0,0,3,0,0,0,0,-,,0,f,,
114,Church Mutual Insurance Co.,3000 Schuster Lane,Merrill,WI,54452,715-536-5577-4124,http://www.churchmutual.com,NR,16,NR,7,A,5,304,304,351,350,346,347,350,346,344,340,339,333,332,332,325,316,315,315,313,308,306,304,312.75,0,0,0,0,0,0,0,0,-,,0,f,,
115,Travelers Indemnity Co.,"One Tower Square, Ms08A",Hartford,CT,06183,860-277-1248,http://www.travelers.com,B+,4,NR,7,A++,1,296,296,114,117,127,132,117,127,133,142,153,161,183,179,204,215,244,267,284,287,296,296,261.625,2,2,0,0,2,2,0,0,-,,0,f,,
116,Markel Insurance Co.,4521 Highwoods Parkway,Glen Allen,VA,23060,800-431-1270-3888,http://www.markelcorp.com,NR,16,NR,7,A,5,281,281,40,38,40,40,38,40,40,44,45,46,46,49,50,50,52,49,51,50,51,281,79.25,0,0,0,0,0,0,0,0,-,,0,f,,
117,Addison Insurance Co.,118 2Nd Avenue Se,Cedar Rapids,IA,52401,319-286-2533,http://www.unitedfiregroup.com,C+,7,NR,7,A,5,250,250,540,533,526,519,533,526,480,466,449,447,440,430,423,419,410,399,388,339,301,250,366.125,0,0,2,1,0,0,0,0,-,,0,f,57.1%,53.1%
118,Philadelphia Indemnity Insurance Co.,"One Bala Plaza, Suite 100",Bala Cynwyd,PA,19004-1403,610-617-7680,http://www.phly.com,NR,16,NR,7,NR,33,250,250,637,642,609,596,642,609,515,492,460,417,385,369,361,333,305,297,286,271,269,250,296.5,5,5,0,0,1,1,4,0,-,,0,f,,
119,Charter Oak Fire Insurance Co.,"One Tower Square, Ms08A",Hartford,CT,06183,860-277-1248,http://www.travelers.com,NR,16,NR,7,A++,1,233,233,149,145,148,156,145,148,165,168,170,176,178,183,205,227,239,245,239,237,237,233,232.75,0,0,0,0,0,0,0,0,-,,0,f,,
120,FCCI Insurance Co.,6300 University Parkway,Sarasota,FL,34240-8424,800-226-3224-7632,http://www.fcci-group.com,NR,16,NR,7,A,5,231,231,187,188,193,195,188,193,207,215,215,222,234,235,235,235,239,241,233,238,238,231,236.25,0,0,0,0,0,0,0,0,-,,0,f,,
121,Travelers Indemnity Co. Of America,"One Tower Square, Ms08A",Hartford,CT,06183,860-277-1248,http://www.travelers.com,B,5,NR,7,A++,1,180,180,1694,1665,1622,1573,1665,1622,1090,789,538,335,336,333,295,263,238,209,213,199,191,180,223.5,1,1,1,2,2,2,0,0,-,,0,f,,
122,Main Street America Protection Insurance Company,55 West Street,Keene,NH,03431,800-258-5310,http://www.msagroup.com,NR,16,NR,7,NR,33,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,46,51,136,178,172,74.5,0,0,0,0,0,0,0,0,-,,0,f,,
123,Guideone Mutual Insurance Co.,1111 Ashworth Road,West Des Moines,IA,50265-3538,515-267-2315,http://www.guideone.com,NR,16,NR,7,A-,7,155,155,163,164,164,163,164,164,161,159,154,153,152,151,152,152,155,155,160,158,159,155,155.75,0,0,0,0,0,0,0,0,-,,0,f,,
124,Hartford Casualty Insurance Co.,200 Hopmeadow Street,Simsbury,CT,06089-9793,800-451-6944,http://www.thehartford.com,B,5,NR,7,A+,3,148,148,256,248,240,233,248,240,215,207,206,204,195,190,188,186,179,174,166,161,156,148,169.75,2,2,8,0,1,1,1,0,-,,0,f,58.4%,58.1%
125,Affiliated FM Insurance Co.,270 Central Avenue,Johnston,RI,02919-4949,401-415-1559,http://www.fmglobal.com,C,8,NR,7,A+,3,139,139,131,131,130,131,131,130,131,127,129,130,132,131,132,136,139,138,135,137,138,139,136.75,0,0,0,0,0,0,0,0,-,,0,f,53.6%,70.3%
126,Truck Insurance Exchange,6301 Owensmouth Ave,Woodland Hills,CA,91367,818-965-0433,http://www.farmers.com,NR,16,NR,7,NR,33,136,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,17,0,0,0,0,0,0,0,0,-,,0,f,,
127,Massachusetts Bay Insurance Co.,440 Lincoln Street,Worcester,MA,01653-0002,508-853-7200-8553955,http://www.hanover.com,NR,16,NR,7,A,5,134,134,21,20,20,19,20,20,20,18,4,58,60,142,142,142,144,147,146,137,135,134,140.875,0,0,0,0,0,0,0,0,-,,0,f,,
128,Indemnity Insurance Co. Of North America,"Judith M. Calihan, 436 Walnut Street,            P",Philadelphia,PA,19106,215-640-4555,http://www.acegroup.com,NR,16,NR,7,A++,1,130,130,252,247,240,228,247,240,207,197,193,187,172,160,154,147,144,137,138,134,131,130,139.375,0,0,0,0,0,0,0,0,-,,0,f,,
129,Pacific Indemnity Co.,202 Hall'S Mill Road,Whitehou,NJ,08889,908-572-5343,http://www.chubb.com,B-,6,NR,7,A++,1,129,129,198,190,182,181,190,182,173,167,165,158,154,150,150,148,145,139,138,136,135,129,140,0,0,0,0,0,0,0,0,-,,0,f,40.3%,42.4%
130,Westfield Insurance Co.,One Park Circle,Westfield Center,OH,44251,330-887-6344,http://www.westfieldgrp.com,B-,6,NR,7,NR,33,92,92,128,128,123,120,128,123,111,109,108,106,107,107,104,103,103,100,95,96,96,92,98.625,0,0,0,0,0,0,0,0,-,,0,f,,
131,Hartford Underwriters Insurance Co.,200 Hopmeadow Street,Simsbury,CT,06089-9793,800-451-6944,http://www.thehartford.com,B,5,NR,7,A+,3,68,68,83,80,79,77,80,79,73,70,68,67,65,68,69,70,70,68,68,66,67,68,68.25,0,0,1,0,0,0,0,0,-,,0,f,58.4%,58.1%
132,United Fire & Indemnity Co.,118 Second Avenue Se,Cedar Rapids,IA,52401,319-286-2533,http://www.unitedfiregroup.com,NR,16,NR,7,NR,33,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,67,12,0,0,0,0,0,0,0,0,-,,0,f,,
133,Travelers Indemnity Co. Of Connecticut,"One Tower Square, Ms08A",Hartford,CT,06183,860-277-1248,http://www.travelers.com,B,5,NR,7,A++,1,63,63,107,110,103,103,110,103,82,83,78,73,70,69,67,58,60,61,62,61,61,63,61.625,0,0,0,0,0,0,0,0,-,,0,f,,
134,American States Insurance Co.,175 Berkeley Street,Boston,MA,02116,617-357-9500,http://www.safeco.com,NR,16,NR,7,NR,33,56,56,106,104,99,92,104,99,85,85,82,77,73,71,65,60,57,55,56,58,57,56,58,1,1,0,0,1,1,0,0,-,,0,f,,
135,Travelers Property Casualty Co. Of America,"One Tower Square, Ms08A",Hartford,CT,06183,860-277-1248,http://www.travelers.com,B,5,NR,7,A++,1,56,56,72,68,68,65,68,68,59,63,60,60,61,66,62,60,61,57,58,54,55,56,57.875,1,1,0,0,1,1,0,0,-,,0,f,,
136,Hanover Insurance Co. (The),440 Lincoln Street,Worcester,MA,01653-0002,508-853-7200-8553955,http://www.hanover.com,NR,16,NR,7,A,5,53,53,179,172,173,173,172,173,176,147,148,82,81,82,87,86,69,68,68,68,56,53,69.375,0,0,0,0,0,0,0,0,-,,0,f,,
137,National Trust Insurance Co.,6300 University Parkway,Sarasota,FL,34240-8424,800-226-3224-7632,http://www.fcci-group.com,NR,16,NR,7,A,5,52,52,0,4,23,45,4,23,63,62,61,61,59,57,58,58,58,55,57,56,51,52,55.625,0,0,0,0,0,0,0,0,-,,0,f,,
138,Crestbook Insurance Co.,"One West Nationwide Blvd., 3-04-101",Columbus,OH,43215-2220,800-882-2822,http://www.nationwide.com,NR,16,NR,7,NR,33,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,34,45,50,17.25,0,0,0,0,0,0,0,0,-,,0,f,,
139,Guideone Specialty Mutual Insurance Co.,1111 Ashworth Road,West Des Moines,IA,50265-3538,515-267-2315,http://www.guideone.com,NR,16,NR,7,A-,7,45,45,48,48,45,46,48,45,44,43,43,42,41,40,41,41,41,42,42,42,46,45,42.5,0,0,0,0,0,0,0,0,-,,0,f,,
140,Vigilant Insurance Co.,202 Hall'S Mill Road,Whitehou,NJ,08889,908-572-5343,http://www.chubb.com,B,5,NR,7,A++,1,45,45,85,84,80,79,84,80,68,66,63,60,56,56,54,53,53,53,53,51,48,45,51.25,0,0,0,0,0,0,0,0,-,,0,f,40.6%,42.7%
141,Hartford Fire Insurance Co.,200 Hopmeadow Street,Simsbury,CT,06089-9793,800-451-6944,http://www.thehartford.com,B,5,NR,7,A+,3,37,37,40,38,37,36,38,37,42,42,44,43,42,42,45,39,37,34,33,38,35,37,37.25,0,0,1,1,1,1,0,0,-,,0,f,58.4%,58.1%
142,Hanover American Insurance Co. (The),440 Lincoln Street,Worcester,MA,01653-0002,508-853-7200-8553955,http://www.hanover.com,NR,16,NR,7,A,5,23,23,8,9,10,6,9,10,4,6,6,7,6,6,5,6,22,20,21,21,23,23,17.625,0,0,0,0,0,0,0,0,-,,0,f,,
143,Factory Mutual Insurance Co.,270 Central Avenue,Johnston,RI,02919-4949,401-415-1559,http://www.fmglobal.com,NR,16,NR,7,A+,3,21,21,13,13,13,13,13,13,15,15,17,17,19,21,20,22,19,20,19,19,21,21,20.125,0,0,0,0,0,0,0,0,-,,0,f,,
144,St. Paul Fire & Marine Insurance Co.,"One Tower Square, 5 Ms",Hartford,CT,06183,860-277-1561,http://www.travelers.com,B,5,NR,7,NR,33,20,20,16,16,15,13,16,15,15,16,15,14,15,17,16,20,17,17,20,20,17,20,18.375,0,0,0,0,0,0,0,0,-,,0,f,,
145,Phoenix Insurance Co.,"One Tower Square, Ms08A",Hartford,CT,06183,860-277-1248,http://www.travelers.com,NR,16,NR,7,A++,1,20,20,39,37,33,34,37,33,37,32,32,29,28,23,20,18,16,15,18,21,20,20,18.5,0,0,0,0,0,0,0,0,-,,0,f,,
146,Granada Insurance Co.,4075 Sw 83 Avenue,Miami,FL,33155,305-554-0353,http://www.granadainsurance.com,NR,16,NR,7,NR,33,19,19,60,60,59,61,60,59,52,47,43,43,39,35,34,34,32,29,27,26,23,19,28,0,0,0,0,0,0,0,0,-,,0,f,,
147,Great American Alliance Insurance Co.,301 E Fourth Street,Cincinnati,OH,45202,800-972-3008,http://www.greatamericaninsurancegroup.com,NR,16,NR,7,A+,3,19,19,14,16,17,17,16,17,19,17,21,23,23,21,21,21,20,19,20,20,20,19,20,0,0,0,0,0,0,0,0,-,,0,f,,
148,Cincinnati Indemnity Co.,6200 South Gilmore Road,Fairfield,OH,45014-5141,513-870-2000-4414,http://www.cinfin.com,NR,16,NR,7,A+,3,18,18,134,150,160,163,150,160,186,187,186,188,184,187,182,183,171,161,126,83,38,18,120.25,0,0,0,0,0,0,0,0,-,,0,f,,
149,Merastar Insurance Co.,"50 Glenmaura National Blvd.,  Ste. 201",Moosic,PA,18507,570-596-2036,http://www.kemper.com,B-,6,NR,7,A-,7,17,17,1208,1974,1988,1709,1974,1988,886,754,512,2397,2337,2285,21,21,21,21,18,18,18,17,19.375,0,0,0,0,0,0,0,0,-,,0,f,,
150,Illinois National Insurance Co.,"175 Water Street, 18Th Floor",New York,NY,10038,212-458-3732,http://www.aig.com,C+,7,NR,7,NR,33,14,14,0,0,0,0,0,0,0,0,8,9,10,6,6,5,5,4,4,10,11,14,7.375,0,0,0,0,0,0,0,0,-,,0,f,,
151,American Security Insurance Co.,11222 Quail Roost Drive,Miami,FL,33157,800-852-2244,http://www.assurant.com,B-,6,NR,7,A,5,12,12,14,14,14,14,14,14,14,14,14,14,15,16,16,16,17,17,15,15,13,12,15.125,4,4,4,11,12,1,2,3,-,,0,f,43.9%,35.9%
152,Continental Casualty Co.,333 S. Wabash Ave,Chicago,IL,60604,312-822-3955,http://www.cna.com,NR,16,NR,7,A,5,12,12,34,30,30,35,30,30,14,12,11,12,13,11,11,11,12,13,11,13,10,12,11.625,0,0,0,0,0,0,0,0,-,,0,f,,
153,Granite State Insurance Co.,"175 Water Street, 18Th Floor",New York,NY,10038,212-458-3732,http://www.aig.com,C+,7,NR,7,NR,33,10,10,0,0,0,0,0,0,0,0,11,9,10,12,11,13,10,9,9,10,8,10,10,0,0,0,0,0,0,0,0,-,,0,f,,
154,Guideone America Insurance Co.,1111 Ashworth Road,West Des Moines,IA,50265-3538,515-267-2315,http://www.guideone.com,NR,16,NR,7,NR,33,8,8,16,15,15,14,15,15,13,13,13,13,13,13,13,13,12,12,9,8,8,8,10.375,0,0,0,0,0,0,0,0,-,,0,f,,
155,"American Casualty Co. Of Reading, Pennsylvania",333 S. Wabash Ave,Chicago,IL,60604,312-822-3955,http://www.cna.com,NR,16,NR,7,A,5,7,7,17,18,14,8,18,14,6,6,6,6,3,4,4,4,5,5,4,4,7,7,5,0,0,0,0,0,0,0,0,-,,0,f,,
156,Ohio Security Insurance Co.,175 Berkeley Street,Boston,MA,02116,617-357-9500,http://www.libertymutualgroup.com,NR,16,NR,7,A,5,7,7,0,0,0,1,0,0,3,3,4,4,4,5,4,5,3,3,3,3,4,7,4,0,0,0,0,0,0,0,0,-,,0,f,,
157,National Fire Insurance Co. Of Hartford,333 S. Wabash Ave,Chicago,IL,60604,312-822-3955,http://www.cna.com,NR,16,NR,7,A,5,6,6,10,7,5,5,7,5,4,4,5,5,3,4,5,6,8,6,6,4,7,6,6,0,0,0,0,0,0,0,0,-,,0,f,,
158,Transportation Insurance Co.,333 S. Wabash Ave,Chicago,IL,60604,312-822-3955,http://www.cna.com,C,8,NR,7,A,5,6,6,2,3,3,4,3,3,4,5,5,5,6,4,4,6,6,7,7,7,6,6,6.125,0,0,0,0,0,0,0,0,-,,0,f,,
