Company,Group Name,Address,City,Domicile State,Zip,Phone,President,Web Address,Commenced Operations,Weiss Financial Strength Rating *,2013 Florida Homeowners Direct Premiums Written               $,2013 Florida Homeowners Direct Losses    Incurred                               $,"Total Assets as of June 30, 2014             $","Total Liabilities  as of June 30, 2014       $",2013 Marketshare                         %,Net Income            2013                       $,Net Income            June 2014        $,Capital and Surplus          2013,Capital and Surplus              June 2014,2012 Reserves,2013 Reserves,2012 to 2013 change in reserves                   $,2012 to 2013 change %,June 2014 Reserves,2013 to 2014 change in reserves                   $,2013 to 2014 change %,2012 to 2014 change in reserves                   $,2012 to 2014 change %
FIRST LIBERTY INSURANCE CORP,LIBERTY MUTUAL GROUP,175 BERKELEY STREET,BOSTON,MA,2116,(617) 357-9500,DAVID HENRY LONG,http://www.LibertyMutualGroup.com,22-Jun-89,C+,"26,362,366","8,820,610","23,075,267","794,815",0.3,"1,277,319","114,445","22,158,766","22,280,452","19,165,601",0,"-19,165,601",-100,0,0,#DIV/0!,"-19,165,601",-100
FOREMOST PROPERTY AND CASUALTY INSURANCE COMPANY,FARMERS INSURANCE GROUP OF COMPANIES,P.O. BOX 2450,GRAND RAPIDS,MI,49501-2450,(616) 942-3000,STEPHEN JOHN BOSHOVEN,http://www.foremost.com,27-Apr-84,C,"25,238,780","3,466,453","79,071,166","61,586,460",0.29,"194,965","63,801","17,354,293","17,484,706",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
FIRST FLORIDIAN AUTO AND HOME INSURANCE COMPANY,TRAVELERS COMPANIES INC,7840 WOODLAND CENTER BOULEVARD,TAMPA,FL,33614,(813) 890-4200,HECTOR JAIME ALANIZ,http://www.travelersfl.com,1-Jun-96,B,"24,184,655","3,805,548","278,070,061","87,290,465",0.28,"17,026,048","4,289,462","201,757,032","190,779,597","41,817,219","38,697,297","-3,119,922",-7.46,"38,742,985","45,688",0.12,"-3,074,234",-7.35
QBE SPECIALTY INSURANCE COMPANY,QBE INSURANCE GROUP LTD,"88 PINE STREET, 16TH FL., WALL ST. PLAZA",NEW YORK,NY,10005-1801,(212) 805-9700,ROBERT VINCE JAMES,http://www.qbena.com,28-Aug-02,D,"20,831,183","2,313,403","806,287,937","591,041,853",0.24,"-14,561,477","-1,389,562","214,759,957","215,246,084","237,031,323","233,259,799","-3,771,524",-1.59,"240,190,652","6,930,853",2.97,"3,159,329",1.33
AMERICAN AUTOMOBILE INSURANCE COMPANY,ALLIANZ INSURANCE GROUP,777 SAN MARIN DRIVE,NOVATO,CA,94998,(415) 899-2000,DAVID ANDREW TORRANCE,https://www.firemansfund.com,1-Jan-12,C,"17,855,670","4,768,918","182,298,022","21,219,022",0.2,"1,992,960","2,019,296","157,008,925","161,079,000",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
METROPOLITAN CASUALTY INSURANCE COMPANY,METLIFE INC,PO BOX 350  700 QUAKER LANE,WARWICK,RI,02887-0350,(401) 827-2400,KISHORE PONNAVOLU,https://www.metlife.com,1-Apr-82,B,"16,892,672","5,598,112","193,603,085","141,394,201",0.19,"1,947,641","938,179","51,249,756","52,208,884",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
STILLWATER P AND C INSURANCE COMPANY,WBL PARTNERS LLC,P. O. BOX 45126,JACKSONVILLE,FL,32232-5126,(800) 849-6140,MARK OWEN DAVEY,https://stillwaterinsurance.com,15-Sep-71,C,"16,170,330","8,349,993","117,597,430","6,535,632",0.19,"5,575,828","4,166,750","112,371,068","111,061,798",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
ACE INSURANCE COMPANY OF THE MIDWEST,ACE LTD,120 NORTH 9TH STREET,RICHMOND,IN,47374,(215) 640-1000,JOHN JOSEPH LUPICA,http://www.acegroup.com/us-en,17-Jul-72,C,"14,601,742","2,003,506","71,890,126","10,034,763",0.17,"2,089,215","1,145,640","60,700,886","61,855,363","610,318","782,897","172,579",28.28,"762,984","-19,913",-2.54,"152,666",25.01
AVATAR PROPERTY AND CASUALTY INSURANCE COMPANY,AVATAR PARTNERS LP,"1408 N. WESTSHORE BLVD., SUITE 805",TAMPA,FL,33607,(813) 514-0333,HITESH PRABHUDAS ADHIA,http://www.avatarins.com,14-Apr-08,C,"13,349,562","2,653,188","28,244,024","12,015,996",0.15,"2,041,926","872,908","15,202,565","16,228,028","1,829,820","1,253,438","-576,382",-31.5,"1,353,882","100,444",8.01,"-475,938",-26.01
AMERICAN PLATINUM PROPERTY AND CASUALTY INSURANCE COMPANY,UNIVERSAL INSURANCE HOLDING GROUP,1110 WEST COMMERCIAL BOULEVARD,FORT LAUDERDALE,FL,33309,(954) 958-1200,SEAN PATRICK DOWNES,https://americanplatinumpcic.com,  -   -,C,"11,571,455","1,907,275","20,250,655","6,963,767",0.13,"-184,162","-514,907","13,707,620","13,286,888","217,314","813,597","596,283",274.39,"798,025","-15,572",-1.91,"580,711",267.22
CINCINNATI INSURANCE COMPANY,CINCINNATI FNCL CP,P.O. BOX 145496,CINCINNATI,OH,45250-5496,(513) 870-2000,STEVEN JUSTUS JOHNSTON,http://www.cinfin.com,23-Jan-51,A,"11,269,672","2,357,995","10,807,938,974","6,475,950,471",0.13,"417,715,253","137,655,821","4,325,670,432","4,331,988,503","2,836,585,289","2,945,976,974","109,391,685",3.86,"3,102,357,468","156,380,494",5.31,"265,772,179",9.37
AMERICAN HOME ASR COMPANY,AMERICAN INTL GROUP,175 WATER ST 18TH FLOOR,NEW YORK,NY,10038,(212) 770-7000,ROBERT SCOTT HIGGINS SCHIMEK,http://www.aig.com,9-Feb-99,C,"10,806,819","12,197,859","26,478,585,392","19,499,764,711",0.12,"702,989,648","286,884,510","5,091,686,090","6,978,820,681","10,398,180,388","10,504,183,372","106,002,984",1.02,"11,493,216,829","989,033,457",9.42,"1,095,036,441",10.53
AMERICAN MODERN INSURANCE COMPANY OF FLORIDA,MUNICH RE AMERICA CORP,PO BOX 5323,CINCINNATI,OH,45201-5323,(800) 543-2644,MANUEL ZUNIGA RIOS,http://www.amig.com,31-Jul-07,C,"10,410,286","2,452,032","31,829,872","24,161,063",0.12,"46,668","-229,837","7,850,271","7,668,809","3,001,512","2,763,325","-238,187",-7.94,"3,338,822","575,497",20.83,"337,310",11.24
AMERICAN SOUTHERN HOME INSURANCE COMPANY,MUNICH RE AMERICA CORP,PO BOX 5323,CINCINNATI,OH,45201-5323,(800) 543-2644,MANUEL ZUNIGA RIOS,http://www.amig.com,15-Nov-82,B,"10,067,183","1,805,945","140,579,175","103,061,811",0.12,"1,418,989","557,589","36,874,548","37,517,364","6,003,024","5,526,649","-476,375",-7.94,"6,677,645","1,150,996",20.83,"674,621",11.24
SOUTHERN-OWNERS INSURANCE COMPANY,AUTO-OWNERS GROUP,P.O. BOX 30660,LANSING,MI,48909-8160,(517) 323-1200,JEFFREY SCOTT TAGSOLD,http://www.auto-owners.com,15-Jun-95,A,"8,846,229","2,919,554","607,730,699","421,832,190",0.1,"13,513,862","-534,689","184,551,870","185,898,509","164,377,392","166,028,865","1,651,473",1,"176,765,144","10,736,279",6.47,"12,387,752",7.54
ARMED FORCES INSURANCE EXCHANGE,,PO BOX G,FORT LEAVENWORTH,KS,66027,(913) 727-5500,KURT HERMAN SEELBACH,https://www.afi.org,1-Aug-82,C,"8,411,908","1,827,247","128,182,694","66,048,508",0.1,"7,684,885","-503,147","61,598,171","62,134,186","17,535,088","10,496,778","-7,038,310",-40.14,"14,900,303","4,403,525",41.95,"-2,634,785",-15.03
SCOTTSDALE INSURANCE COMPANY,NATIONWIDE CORP,"ONE WEST NATIONWIDE BLVD., DSPF-76",COLUMBUS,OH,43215-2220,(480) 365-4000,MICHAEL DEAN MILLER,https://www.scottsdaleins.com,1-Jul-82,B-,"7,695,255","2,009,043","2,220,190,564","1,461,539,804",0.09,"16,195,219","-4,277,119","716,364,695","758,650,760","313,878,539","379,084,069","65,205,530",20.77,"401,990,649","22,906,580",6.04,"88,112,110",28.07
TEACHERS INSURANCE COMPANY,HORACE MANN GROUP,ONE HORACE MANN PLAZA,SPRINGFIELD,IL,62715,(217) 789-2500,MARITA ZURAITIS,http://www.horacemann.com,31-Dec-76,B,"7,643,074","4,460,090","343,825,379","199,474,580",0.09,"14,244,377","6,414,547","140,395,404","144,350,799","66,730,896","68,050,885","1,319,989",1.98,"71,857,643","3,806,758",5.59,"5,126,747",7.68
COMPANION PROPERTY AND CASUALTY INSURANCE COMPANY,BCBS OF SC GROUP,P.O. BOX 100165,COLUMBIA,SC,29202,(803) 735-0672,GEORGE PETER REETH,http://www.companiongroup.com,1-Jul-84,B,"6,373,649","960,479","1,001,568,454","748,280,912",0.07,"-29,745,822","9,354,531","250,837,735","253,287,542","201,729,056","262,001,468","60,272,412",29.88,"244,600,211","-17,401,257",-6.64,"42,871,155",21.25
CHUBB CUSTOM INSURANCE COMPANY,CHUBB CORP,"15 MOUNTAIN VIEW ROAD, P.O. BOX 1615",WARREN,NJ,07061-1615,(908) 903-2000,PAUL JOSEPH KRUMP,http://www.chubb.com,26-Dec-80,B-,"5,999,887","2,076,150","405,173,626","228,130,777",0.07,"14,076,767","6,783,981","173,864,510","177,042,849","64,562,223","60,663,869","-3,898,354",-6.04,"61,393,316","729,447",1.2,"-3,168,907",-4.91
AIG SPECIALTY INSURANCE COMPANY,AMERICAN INTL GROUP,175 WATER ST 18TH FLOOR,NEW YORK,NY,10038,(212) 770-7000,JEREMY DAVID JOHNSON,http://www.aig.com,20-Jul-73,C,"5,829,020","1,187,955","333,273,223","93,470,574",0.07,"158,803,262","140,010,398","741,787,919","239,802,649","1,160,373,447","1,015,594,506","-144,778,941",-12.48,0,"-1,015,594,506",-100,"-1,160,373,447",-100
VOYAGER INDEMNITY INSURANCE COMPANY,ASSURANT INC,"260 INTERSTATE NORTH CIRCLE, SE",ATLANTA,GA,30339-2110,(770) 763-1000,JOHN AUGUST FROBOSE,http://www.assurant.com,30-Dec-81,C+,"4,647,207","533,318","88,779,888","28,192,533",0.05,"27,837,607","15,838,196","56,722,000","60,587,355","11,018,417","11,712,706","694,289",6.3,"11,871,516","158,810",1.36,"853,099",7.74
ELECTRIC INSURANCE COMPANY,WILMINGTON TRUST,"75 SAM FONZO DR, PO BOX 1029",BEVERLY,MA,01915-1000,(978) 921-2080,DOUGLAS RAY SEYMOUR,http://www.electricinsurance.com,28-Sep-66,C+,"4,471,601","864,829","1,568,291,824","1,041,547,751",0.05,"33,572,067","6,671,545","522,559,854","526,744,073","742,455,086","695,619,973","-46,835,113",-6.31,"717,319,241","21,699,268",3.12,"-25,135,845",-3.39
GREAT NORTHERN INSURANCE COMPANY,CHUBB CORP,"15 MOUNTAIN VIEW ROAD, P.O. BOX 1615",WARREN,NJ,07061-1615,(908) 903-2000,DINO ENNIO ROBUSTO,http://www.chubb.com,1-Aug-52,B,"4,204,951","1,302,101","1,654,714,270","1,179,363,301",0.05,"83,374,654","34,563,140","478,837,822","475,350,969","509,534,462","481,500,959","-28,033,503",-5.5,"487,336,270","5,835,311",1.21,"-22,198,192",-4.36
ACA HOME INSURANCE CORP,ARX HOLDING CORP GROUP,P. O. BOX 33018,ST. PETERSBURG,FL,33733-8018,(727) 821-8765,JOHN FRANKLIN AUER,http://www.americanstrategic.com,1-Oct-05,B-,"3,963,220","1,349,046","17,448,710","1,012,183",0.05,"201,917","114,902","16,219,125","16,436,527",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
NEW HAMPSHIRE INSURANCE COMPANY,AMERICAN INTL GROUP,175 WATER ST 18TH FLOOR,NEW YORK,NY,10038,(212) 770-7000,ROBERT SCOTT HIGGINS SCHIMEK,http://www.aig.com,30-Apr-70,C,"3,685,969","1,242,247","560,149,832","326,761,360",0.04,"129,326,495","72,175,731","731,425,446","233,388,472","1,354,183,909","1,391,707,954","37,524,045",2.77,0,"-1,391,707,954",-100,"-1,354,183,909",-100
IDS PROPERTY CASUALTY INSURANCE COMPANY,AMERIPRISE FINANCIAL GROUP,1400 LOMBARDI AVENUE,GREEN BAY,WI,54304-3922,(920) 330-5100,KENNETH JOHN CIAK,https://www.ameriprise.com,24-Jan-73,B,"3,493,583","815,179","1,396,424,192","821,879,466",0.04,"11,265,406","-8,985,904","530,713,685","574,544,726","298,170,923","330,310,104","32,139,181",10.78,"364,125,955","33,815,851",10.24,"65,955,032",22.12
USAA GENERAL INDEMNITY COMPANY,USAA GROUP,9800 FREDERICKSBURG RD,SAN ANTONIO,TX,78288,(210) 498-8000,ALAN WAYNE KRAPF,https://www.usaa.com,2-Aug-72,B+,"3,080,615","624,470","2,627,540,352","1,732,717,156",0.04,"116,982,337","48,415,947","835,638,139","894,823,196","500,410,795","649,610,481","149,199,686",29.82,"820,615,048","171,004,567",26.32,"320,204,253",63.99
ILLINOIS UNION INSURANCE COMPANY,ACE LTD,"436 WALNUT STREET, P.O. BOX 1000",PHILADELPHIA,PA,19106,(215) 640-1000,JOHN JOSEPH LUPICA,http://www.acegroup.com/us-en,30-Jan-73,C,"2,474,112","1,222,591","411,637,388","253,806,271",0.03,"5,405,611","1,460,639","156,796,410","157,831,117",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
PACIFIC INDEMNITY COMPANY,CHUBB CORP,"15 MOUNTAIN VIEW ROAD, P.O. BOX 1615",WARREN,NJ,07061-1615,(908) 903-2000,PAUL JOSEPH KRUMP,http://www.chubb.com,5-Feb-26,B+,"1,979,563","168,822","6,754,288,225","3,929,760,109",0.02,"425,649,784","205,463,099","2,771,421,804","2,824,528,116","2,232,807,722","2,125,077,184","-107,730,538",-4.82,"2,147,212,248","22,135,064",1.04,"-85,595,474",-3.83
ASPEN SPECIALTY INSURANCE COMPANY,ASPEN INSURANCE HOLDINGS LTD,175 CAPITAL BLVD SUITE 300,ROCKY HILL,CT,6067,(860) 258-3500,MARIO PHILLIP VITALE,http://www.aspen.co,25-Nov-98,C,"1,782,756","263,084","342,504,811","221,798,447",0.02,"4,511,401","6,353,881","116,569,506","120,706,364","20,811,431","18,280,456","-2,530,975",-12.16,"23,178,490","4,898,034",26.79,"2,367,059",11.37
FIRST AMERICAN PROPERTY AND CASUALTY INSURANCE COMPANY,FIRST AMERICAN CORP,114 E FIFTH ST,SANTA ANA,CA,92701,(714) 560-7858,JAMES JOHN COURT,https://www.fapcig.com,27-Sep-79,C,"1,712,398","475,104","97,259,047","51,897,272",0.02,"3,217,656","2,013,412","43,543,318","45,361,775","9,316,129","11,232,863","1,916,734",20.57,"11,338,775","105,912",0.94,"2,022,646",21.71
UNITED FIRE AND CASUALTY COMPANY,UNITED F AND CASUALTY GROUP,P. O. BOX 73909,CEDAR RAPIDS,IA,52407-3909,(319) 399-5700,RANDY ALLEN RAMLO,http://www.unitedfiregroup.com,1-Jan-47,B,"1,527,913","921,387","1,618,679,199","948,547,355",0.02,"58,916,875","1,930,376","665,772,186","670,131,844","400,485,815","393,624,134","-6,861,681",-1.71,"416,503,458","22,879,324",5.81,"16,017,643",4
TRAVELERS INDEMNITY COMPANY OF AMERICA,TRAVELERS COMPANIES INC,ONE TOWER SQUARE,HARTFORD,CT,06183-6014,(860) 277-0111,BRIAN WILLIAM MACLEAN,https://www.travelers.com,1-May-46,B,"1,419,658","361,273","690,682,366","484,407,483",0.02,"25,081,091","9,453,648","194,510,299","206,274,882","230,497,397","228,679,248","-1,818,149",-0.79,"231,984,257","3,305,009",1.45,"1,486,860",0.65
ROCKHILL INSURANCE COMPANY,STATE AUTO MUT GROUP,700 W 47TH ST SUITE 350,KANSAS CITY,MO,64112,(816) 412-1800,ROBERT PAUL RESTREPO JR,http://www.rhkc.com,31-Dec-85,C,"1,222,402","-213,642","146,402,836","48,678,068",0.01,"1,999,949","801,426","95,859,427","97,724,768",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
INTERSTATE FIRE AND CASUALTY COMPANY,ALLIANZ INSURANCE GROUP,777 SAN MARIN DR,NOVATO,CA,94998,(312) 346-6400,DAVID ANDREW TORRANCE,https://www.firemansfund.com,1-Jan-51,C,"1,157,371","68,160","186,723,565","31,213,973",0.01,"1,772,954","1,675,008","154,167,811","155,509,592",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
OLD DOMINION INSURANCE COMPANY,MAIN STREET AMERICA GROUP INC,55 WEST STREET,KEENE,NH,3431,(904) 642-3000,GREGG ALAN EFFNER,http://www.msagroup.com,3-Jun-81,B-,"1,146,989","230,283","32,739,110","623,465",0.01,"651,513","378,961","31,736,685","32,115,645",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
ADDISON INSURANCE COMPANY,UNITED F AND CASUALTY GROUP,P.O. BOX 73909,CEDAR RAPIDS,IA,52407-3909,(319) 399-5700,RANDY ALLEN RAMLO,http://www.unitedfiregroup.com,22-Feb-52,C+,"1,059,206","265,502","101,471,191","63,689,895",0.01,"3,129,714","646,821","37,009,416","37,781,296","24,645,281","24,223,021","-422,260",-1.71,"25,630,982","1,407,961",5.81,"985,701",4
AEGIS SECURITY INSURANCE COMPANY,AEGIS GROUP,P.O. BOX 3153,HARRISBURG,PA,17105,(717) 657-9671,DARLEEN JANE FRITZ,http://www.aegisfirst.com,4-Aug-77,B-,"852,592","151,258","103,755,611","50,891,262",0.01,"5,734,330","1,474,069","51,485,035","52,864,349","14,868,146","13,870,615","-997,531",-6.71,"15,092,440","1,221,825",8.81,"224,294",1.51
VIGILANT INSURANCE COMPANY,CHUBB CORP,"15 MOUNTAIN VIEW ROAD, P.O. BOX 1615",WARREN,NJ,07061-1615,(212) 612-4000,PAUL JOSEPH KRUMP,http://www.chubb.com,18-Oct-39,B,"851,721","31,712","477,356,765","201,488,145",0.01,"16,654,876","8,299,807","264,882,731","275,868,620","63,691,756","60,187,488","-3,504,268",-5.5,"60,916,923","729,435",1.21,"-2,774,833",-4.36
FARMERS SPECIALTY INSURANCE COMPANY,FARMERS INSURANCE GROUP OF COMPANIES,P.O. BOX 2450,GRAND RAPIDS,MI,49501-2450,(616) 942-3000,MICHAEL JOHN COK,http://www.foremost.com,2-Dec-83,B-,"801,457","396,116","16,407,473","25,215",0.01,"78,176","33,066","16,341,658","16,382,258",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
ASSOCIATED INDEMNITY CORP,ALLIANZ INSURANCE GROUP,777 SAN MARIN DRIVE,NOVATO,CA,94998,(415) 899-2000,DAVID ANDREW TORRANCE,https://www.firemansfund.com,9-Feb-23,C,"801,278","135,541","98,010,755","14,841,719",0.01,"1,598,259","1,030,701","82,310,227","83,169,036",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
AXIS SURPLUS INSURANCE COMPANY,AXIS SPECIALTY LTD,"11680 GREAT OAKS WAY, SUITE 500",ALPHARETTA,GA,30022,(678) 746-9400,CARLTON WENDELL MANER,http://www.axiscapital.com,9-Dec-83,C-,"717,800","-1,459,677","490,051,235","280,197,523",0.01,"14,094,883","2,345,078","206,175,151","209,853,712","70,612,853","59,508,895","-11,103,958",-15.73,"60,767,794","1,258,899",2.12,"-9,845,059",-13.94
HORACE MANN INSURANCE COMPANY,HORACE MANN GROUP,ONE HORACE MANN PLZ,SPRINGFIELD,IL,62715-0000,(217) 789-2500,MARITA ZURAITIS,http://www.horacemann.com,23-Dec-63,B,"586,016","267,865","459,192,175","277,672,034",0.01,"18,988,664","7,690,735","177,008,136","181,520,141","83,925,361","85,585,469","1,660,108",1.98,"90,373,110","4,787,641",5.59,"6,447,749",7.68
MERASTAR INSURANCE COMPANY,KEMPER CORPORATION,PO BOX 181101,CHATTANOOGA,TN,37414-6101,(312) 661-4700,ELIZABETH CAROL LUPETINI,http://www.kemper.com,1-Nov-74,B-,"559,190","341,221","28,121,086","20,421,056",0.01,"1,596,768","260,465","9,289,861","7,700,030",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
PRAETORIAN INSURANCE COMPANY,QBE INSURANCE GROUP LTD,"88 PINE STREET, 4TH FL., WALL STREET PLA",NEW YORK,NY,10005-1801,(212) 805-9700,ROBERT VINCE JAMES,http://www.qbena.com,7-Aug-79,C-,"353,236","31,581","1,040,231,991","792,753,596",0,"-28,235,047","273,871","248,362,910","247,478,394","354,325,184","329,449,408","-24,875,776",-7.02,"338,554,443","9,105,035",2.76,"-15,770,741",-4.45
HARTFORD CASUALTY INSURANCE COMPANY,HARTFORD FINANCIAL SERVICES INC,HARTFORD PLAZA,HARTFORD,CT,6115,(860) 547-5000,DOUGLAS GRAHAM ELLIOT,http://www.thehartford.com,1-Jul-87,B,"318,168","131,533","2,301,313,818","1,350,197,657",0,"83,583,673","43,118,926","905,792,522","951,116,161","806,411,159","809,793,845","3,382,686",0.42,"828,043,268","18,249,423",2.25,"21,632,109",2.68
KINSALE INSURANCE COMPANY,KINSALE CAPITAL GROUP LTD,6802 PARAGON PL SUITE 120,RICHMOND,VA,23230,(804) 289-1300,MICHAEL PATRICK KEHOE,http://www.kinsaleins.com,4-Apr-90,B,"265,236","17,052","268,461,917","175,088,447",0,"7,804,964","4,086,174","81,407,206","93,373,470","27,942,254","39,585,746","11,643,492",41.67,"47,901,162","8,315,416",21.01,"19,958,908",71.43
HARTFORD UNDERWRITERS INSURANCE COMPANY,HARTFORD FINANCIAL SERVICES INC,HARTFORD PLAZA,HARTFORD,CT,6115,(860) 547-5000,DOUGLAS GRAHAM ELLIOT,http://www.thehartford.com,31-Dec-87,B+,"176,486","450,135","1,632,277,360","988,597,989",0,"52,836,874","31,382,367","611,390,002","643,679,372","586,480,843","588,940,978","2,460,135",0.42,"602,213,286","13,272,308",2.25,"15,732,443",2.68
FIRST NATIONAL INSURANCE COMPANY OF AMERICA,LIBERTY MUTUAL GROUP,175 BERKELEY ST,BOSTON,MA,2116,617-357-9500,TIMOTHY MICHAEL SWEENEY,http://www.safeco.com,1-Nov-28,B-,"144,249","1,738","53,747,049","161,128",0,"6,442,005","672,432","53,048,147","53,585,921","70,731,981",0,"-70,731,981",-100,0,0,#DIV/0!,"-70,731,981",-100
AFFILIATED FM INSURANCE COMPANY,FM GLOBAL,PO BOX 7500,JOHNSTON,RI,02919-0000,(401) 275-3000,THOMAS A LAWSON,http://www.affiliatedfm.com,1-Jun-50,C,"103,175","41,621","2,509,602,418","1,177,817,787",0,"124,414,716","48,345,159","1,262,071,193","1,331,784,631","562,923,744","367,576,922","-195,346,822",-34.7,"436,553,685","68,976,763",18.77,"-126,370,059",-22.45
ALTERRA EXCESS AND SURPLUS INSURANCE COMPANY,MARKEL CORP,4521 HIGHWOODS PKWY,GLEN ALLEN,VA,23060,(804) 287-6900,FRANCIS MICHAEL CROWLEY,https://www.markelcorp.com,20-Jul-76,C,"70,643","9,572","407,452,258","258,706,893",0,"-456,443","1,379,851","143,087,393","148,745,365","56,949,067","84,442,810","27,493,743",48.28,"89,143,796","4,700,986",5.57,"32,194,729",56.53
PRIME INSURANCE COMPANY,PRIME HOLDINGS INSURANCE SERVICES INC,PO BOX 4439,SANDY,UT,84091-4439,(801) 304-5502,RICK JOHN LINDSEY,http://www.primeis.com,13-Jun-06,D+,"19,849","1,047","64,333,929","31,625,689",0,"2,807,784","3,095,671","28,757,770","32,708,240","8,408,831","9,970,181","1,561,350",18.57,"12,001,624","2,031,443",20.38,"3,592,793",42.73
AMERICAN SECURITY INSURANCE COMPANY,ASSURANT INC,"260 INTERSTATE NORTH CIRCLE, SE",ATLANTA,GA,30339-2110,(770) 763-1000,JOHN AUGUST FROBOSE,http://www.assurant.com,1-Sep-38,B,"17,698","-2,607","2,023,778,130","1,221,395,534",0,"294,195,952","138,839,199","740,844,483","802,382,596","203,420,349","190,178,953","-13,241,396",-6.51,"220,113,915","29,934,962",15.74,"16,693,566",8.21
HARTFORD FIRE INSURANCE COMPANY,HARTFORD FINANCIAL SERVICES INC,HARTFORD PLAZA,HARTFORD,CT,6115,(860) 547-5000,DOUGLAS GRAHAM ELLIOT,http://www.thehartford.com,6-Aug-10,B,"14,105","-537,588","26,359,532,890","11,775,615,668",0,"1,006,597,469","296,211,997","14,081,412,911","14,583,917,222","6,084,738,739","6,110,262,343","25,523,604",0.42,"6,247,962,838","137,700,495",2.25,"163,224,099",2.68
TWIN CITY FIRE INSURANCE COMPANY,HARTFORD FINANCIAL SERVICES INC,HARTFORD PLAZA,HARTFORD,CT,6115,(860) 547-5000,DOUGLAS GRAHAM ELLIOT,http://www.thehartford.com,1-Jul-87,B,"4,413","7,803","661,825,723","359,875,763",0,"27,680,890","12,793,883","288,142,207","301,949,960","219,930,315","220,852,866","922,551",0.42,"225,829,982","4,977,116",2.25,"5,899,667",2.68
ESSEX INSURANCE COMPANY,MARKEL CORP,TEN PARKWAY NORTH,DEERFIELD,IL,60015-2544,(804) 273-1400,GERARD ALBANESE JR,http://www.markelcorp.com,22-Oct-80,C,"1,160",-97,"1,305,205,932","871,482,177",0,"87,912,302","29,347,535","385,332,639","433,723,755","399,533,754","356,882,125","-42,651,629",-10.68,"380,520,973","23,638,848",6.62,"-19,012,781",-4.76
AMERICAN WESTERN HOME INSURANCE COMPANY,MUNICH RE AMERICA CORP,PO BOX 5323,CINCINNATI,OH,45201-5323,(800) 543-2644,MANUEL ZUNIGA RIOS,http://www.amig.com,28-Jul-78,C,"1,040",782,"199,279,864","137,109,472",0,"2,331,529","291,554","61,497,266","62,170,392","13,506,805","12,434,961","-1,071,844",-7.94,"15,024,701","2,589,740",20.83,"1,517,896",11.24
STONINGTON INSURANCE COMPANY,QBE INSURANCE GROUP LTD,5801 TENNYSON PKWY STE 600,PLANO,TX,75024-6113,608-837-4440,ROBERT VINCE JAMES,http://www.qbena.com,8-Feb-38,E+,50,"66,564","168,764,442","122,911,910",0,"-7,051,976","-39,946","46,395,007","45,852,532",0,"50,499,545","50,499,545",#DIV/0!,"50,325,660","-173,885",-0.34,"50,325,660",#DIV/0!
